content,score,at,userName,thumbsUpCount,reviewCreatedVersion,app_id,app_name,sentiment
"aplikasi membantu banget ini, tapi untuk pelajar menurutku harganya terlalu tinggi, pgn deh ada harga khusus pelajar",5,2026-06-14T14:43:26.000000,fadila darmayati,0,5.61.1,com.gojek.app,Gojek,Positif
"ada kesalahan saat transaksi, tapi mengajukan pengembalian dana nya se susah itu. asisten dana nya ga membantu malah jadi ribet.",1,2026-06-23T07:35:44.000000,Mely Damai Yanti Gea,0,,id.dana,DANA,Negatif
Udah ga percaya sih sama tokped... ada voucher tapi ga bisa digunain... itu alasan kenapa aku ga pernah pake tokped lagi.,1,2026-06-10T20:25:41.000000,BUDI SANTOSA,0,3.361.0,com.tokopedia.tkpd,Tokopedia,Negatif
"sekarang ngerti kenapa ni aplikasi sepi peminant, belanja 4 barang yang dateng cuman 1. 2 diretur sepihak oleh kurir dengan alasan ditolak pembeli padahal paketnya ga dianter sama sekali dan 1 lagi diretur penjual karna promo aplikasi gajelas",1,2026-06-24T03:35:34.000000,Anna,1,3.369.0,com.tokopedia.tkpd,Tokopedia,Negatif
"ga usah ngeluh wahai custumer gojek. wajar klo jemput jauh para driver2 gojek. karna dah pakai promo, minta cepat, driver pas begitu sampai driver nunggu lama. pas tueun nati tips nya yah pa di aplikasi. mpe lebaran kuda juga ga bakal masuk",1,2026-06-04T15:34:04.000000,Willy Herman,3,,com.gojek.app,Gojek,Negatif
"gatau kenapa belakangan ini kalau order gofud susah banget dapat driver nya, tolong dibenahi",1,2026-06-26T05:57:26.000000,Setyani Syafira,0,5.64.2,com.gojek.app,Gojek,Negatif
mantep bgt ni aplikasi pokoknya 👌,5,2026-06-15T02:33:52.000000,agam Haidar,0,5.62.2,com.gojek.app,Gojek,Positif
setiap saya belanja di aplikasi ini ongkirnya sangat mahal dan saya tidak mendapatkan gratis ongkir sama sekali,1,2026-05-11T13:06:48.000000,Fds Fidelis,1,3.363.0,com.tokopedia.tkpd,Tokopedia,Negatif
tolong lah katanya bisa bayar make qris saya udah mau pesen pulsa malah gabisa di bayar make qris tolong benerin lagi,1,2026-05-18T05:16:31.000000,Salman haickal haickal,0,3.364.0,com.tokopedia.tkpd,Tokopedia,Negatif
cepat respond dan lancar,5,2026-05-16T15:24:02.000000,Putu Arya,0,5.59.1,com.gojek.app,Gojek,Positif
admin kenapa sekarang tidak bisa melihat posisi driver saat pengiriman makanan ?,2,2026-06-15T13:02:24.000000,Rudi Rdi,1,5.58.1,com.gojek.app,Gojek,Negatif
terimakasih transaksi amanah,5,2026-06-23T07:08:55.000000,Burhan Zamzam,0,2.129.0,id.dana,DANA,Positif
kerja sama/kemitraannya baik dengan tiktok,5,2026-05-15T13:13:02.000000,Susilo,0,,com.tokopedia.tkpd,Tokopedia,Positif
banyak diskonya,5,2026-05-15T14:06:49.000000,sahril Alden,0,5.59.1,com.gojek.app,Gojek,Positif
apk nya bagus,5,2026-06-26T05:51:22.000000,Roni Taofik,0,2.131.1,id.dana,DANA,Positif
"apk jelek, harga mahal datang lambat",1,2026-06-13T06:37:16.000000,Yanusetya Budi,0,3.302.0,com.tokopedia.tkpd,Tokopedia,Negatif
kurang masih lemoot,4,2026-05-29T10:53:41.000000,Bandung Jaya,0,,com.tokopedia.tkpd,Tokopedia,Positif
Saya ingin menghapus data di dana,5,2026-06-24T13:03:51.000000,Icha Makin,0,2.131.1,id.dana,DANA,Positif
aplikasi nya bagus,5,2026-06-16T00:46:46.000000,Raihan Nabil,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
"maaf saya mau menanyakan kenapa terkadang gabisa melacak pesanan instan saya, dan MOHON UNTUK DITINGKATKAN UNTUK PELAYANAN TOKOPEDIA CARE NYA, SAYA MAU NANYA KE TOKOPEDIA CARE MALAH SAMA CHAT BOT GA DIARAH²IN, MOHON UNTUJ DITINDAK LANJUTI",1,2026-05-26T09:13:00.000000,Muh Fakhri Alfajri,1,,com.tokopedia.tkpd,Tokopedia,Negatif
"saya belanja di 1 toko tapi setelah saya tf uang nya dan barang nya tidak sampai kepada waktu yang di tentukan. Uang saya belum kembali sampai sekarang dan toko tersebut hilang begitu saja, ini juga termasuk penipuan Teman saya juga beli dan uang nya hilang tidak di kemabalikan mohon bantuan nya atas kejadian ini kepada pihak toko pedia🙏",1,2026-04-10T21:48:49.000000,afrilia Risma,6,3.359.0,com.tokopedia.tkpd,Tokopedia,Negatif
susahnya cari driver berkali2 ga ada yang ambil !!,1,2026-05-26T12:04:17.000000,Adhit Anindi,1,4.86.2,com.gojek.app,Gojek,Negatif
"tolong banget rating penumpang bisa diliat tiba' driver bilang kalau rating aku 4.3 dan katanya bakal susah nyari driver padahal aku gak ngapa'in, payment selalu pake gopay di gojek mau gofood, dll. gak pernah bikin driver nunggu, udah berusaha jadi penumpang yg baik buat semua drivernya karena aku berterima kasih sama mereka udah mau ambil orderan aku, bahkan waktu itu sampai effort nyebrang jauh karena drivernya gamau jemput. kenapa driver mau rating 5 tapi ke kita ngasih jelek salah aku apa😭",1,2026-05-14T12:25:25.000000,Arini Putri Salsabila,1,5.54.1,com.gojek.app,Gojek,Negatif
kenapa tokped performanya makin berkurang....??? ONGKIR MAHAL,1,2026-04-01T10:09:25.000000,Riyadi Ebta Nagara,0,3.358.0,com.tokopedia.tkpd,Tokopedia,Negatif
"Berat, tidak bisa transaksi, fitur tidak bisa digunakan.. sangat tidak membantu. mending apk yg lain..",1,2026-06-21T12:15:21.000000,frans sutowo,0,2.103.1,id.dana,DANA,Negatif
dana instan belum tersedia,5,2026-06-25T18:23:04.000000,Nazmuddin Makir,0,2.131.1,id.dana,DANA,Positif
penyelamat di setiap kemanapun pergi terimakasih gojek.. apk Ter the best 👍,5,2026-06-03T23:23:03.000000,Tessar aditiya,0,4.94.2,com.gojek.app,Gojek,Positif
"udah mah mahal, kikir promo lagi pesen gofood mahalan ongkir daripada makanannya",1,2026-06-11T03:24:21.000000,Alpa Novaldi,0,5.62.2,com.gojek.app,Gojek,Negatif
guudjob,5,2026-06-09T01:52:32.000000,Sukmawan Yuda,0,5.62.2,com.gojek.app,Gojek,Positif
keen banget mantap,5,2026-06-11T05:11:24.000000,Malik,1,3.367.1,com.tokopedia.tkpd,Tokopedia,Positif
pengajuan ulang gopay pinjem di tolak setelah di lunasi .. gak jelas banget .. padahal yg pertama bisa ACC .. giliran di lunasin lgsg di blokir .. tau gitu GK usah di bayar aja !,1,2026-06-04T04:10:53.000000,Buana 1234,1,5.61.1,com.gojek.app,Gojek,Negatif
"kenapa foto profil Tokopedia saya tidak bisa saya ubah, tolong admin beri penjelasan nya!",1,2026-06-28T03:44:16.000000,Faudunasokhi Hulu,1,3.370.0,com.tokopedia.tkpd,Tokopedia,Negatif
jarang bgt promo gratis ongkir suasu,3,2026-06-04T13:37:46.000000,Fauzi Okta,0,3.367.1,com.tokopedia.tkpd,Tokopedia,Netral
heboh diskonnya🙏,5,2026-06-13T03:17:31.000000,marwiyah putri,0,3.367.1,com.tokopedia.tkpd,Tokopedia,Positif
"aplikasinya bagus, cuman pas tukerin koin event pestival bola dunia selalu eror, udah jelas masih tersedia eh malah muter, padahal jaringan bagus",2,2026-06-26T08:02:11.000000,r1_mlbb AL,0,2.123.2,id.dana,DANA,Negatif
aku suk sekali aplikasi dana,5,2026-06-26T06:18:56.000000,Azlan 1617,0,2.128.0,id.dana,DANA,Positif
👍👍👍👍👍👍 16000,5,2026-06-25T06:58:21.000000,nadia Ibrahim,0,2.129.0,id.dana,DANA,Positif
terima kasih dan semoga selalu amanah y dan aman nyimpan di dana,5,2026-06-24T12:07:00.000000,Ririn,0,2.129.0,id.dana,DANA,Positif
aplikasi ga jelas upgrade lama. ditambah Kab Cianjur ga ada padahal dia masuk Jawa Barat.,1,2026-06-23T12:42:53.000000,Muhamad Ilyas,0,2.129.0,id.dana,DANA,Negatif
cocok buat orang mager,5,2026-06-19T02:12:48.000000,Yusril Mustofa,0,5.63.1,com.gojek.app,Gojek,Positif
diskonnya kurang banyak,4,2026-05-26T08:00:56.000000,Pentot,0,,com.gojek.app,Gojek,Positif
mempermudaah segalanyaa,5,2026-05-10T08:27:48.000000,Ayam Panggang,0,5.59.1,com.gojek.app,Gojek,Positif
dana layanan sangat memuaskan,5,2026-06-23T05:27:16.000000,Bobi virma putra Bobi,0,2.129.0,id.dana,DANA,Positif
aplikasi yang sangat mudah di gunakan dan memudahkan segala urusan transaksional transfer topup dll,5,2026-06-23T01:41:14.000000,Solihin Ade,1,2.129.0,id.dana,DANA,Positif
berapa hari yg lalu sy pernah transfer sesama dana sebesar Rp 21.000 dapat notifikasi yg muncul transaksi berhasil dan mengurangi saldo dana tapi dalam laporan dana gagal. knp bisa begitu? kalau dpt notifikasi berhasil knp ada dlm laporan dana gagal tapi mengurangi saldo dana ?,1,2026-06-24T23:21:47.000000,su. hendra,11,2.131.1,id.dana,DANA,Negatif
customer service gak guna...GK membantu..saya ada urgent dan ber kali2 gagal transfer...!!!!,1,2026-06-22T20:00:01.000000,1234,0,2.129.0,id.dana,DANA,Negatif
Alhamdulillah smoga lebih baik,5,2026-06-22T03:51:59.000000,Alli Ikhsan,0,2.129.0,id.dana,DANA,Positif
dana saya ga ada dana cicil.. udh sering d pake tetep aja g ada,3,2026-06-23T06:05:29.000000,Dede Tampan,0,2.129.0,id.dana,DANA,Netral
tepat cepat,5,2026-06-22T09:04:27.000000,Jack Mulyanto,0,,id.dana,DANA,Positif
mantap 👍👍,5,2026-06-22T12:32:06.000000,Danang Ari wibowo,0,2.97.0,id.dana,DANA,Positif
transaksi paling mudah dan simpel👌,5,2026-06-22T03:42:44.000000,Dena Vj,0,2.129.0,id.dana,DANA,Positif
applikasi pemiskin rakyat indobesia,1,2026-05-24T17:00:29.000000,teo bravura,1,5.61.1,com.gojek.app,Gojek,Negatif
"Saya pengguna / lebih 10 th ini, tp belakangan ini ada pesenan saya saya sampai 1 bulan belum diantar2, kalau cara kerjanya sudah begini saya akan Uninstall dan bye di handphone saya alias tutup akun",1,2026-04-10T00:36:04.000000,Abdullah Assegaf,1,4.01-test,com.tokopedia.tkpd,Tokopedia,Negatif
sangat mudah untuk di Gunakan,5,2026-06-23T07:26:53.000000,Sinar Ajha,0,2.129.0,id.dana,DANA,Positif
"tolong di aktifkan fitur dana cicil soalnya syaa sudah lama menggunakan dana,dan transaksi nya pun jutaan malahan puluhan juta tiap bulan,mohon di respon cepat.",1,2026-06-21T21:54:24.000000,Eko Pranata,0,2.129.0,id.dana,DANA,Negatif
"apa yg salah pada data diri saya,disaat aktifasi dana cicil selalu gagal,padahal uda sesuai saat pendaftaran premium, mohon di bantu,, saya juga mendapatkan pesan whatsaap dana cicil bisa di gunakan",1,2026-06-23T12:09:28.000000,Firman Fadli,0,,id.dana,DANA,Negatif
buy Indonesian produk lokal lebih bagus,1,2026-06-12T11:46:54.000000,Kang Entin,0,,com.tokopedia.tkpd,Tokopedia,Negatif
mantaf..mohon dipertahankan,5,2026-05-16T10:12:00.000000,Rimau Balakosa,0,5.60.1,com.gojek.app,Gojek,Positif
bosok ga ISO tf,1,2026-06-21T07:07:15.000000,Falco Falcon,0,,id.dana,DANA,Negatif
wilayah pajak kurang lengkap,1,2026-05-28T07:49:08.000000,Agus Rina,0,3.365.0,com.tokopedia.tkpd,Tokopedia,Negatif
manntab,5,2026-05-14T08:30:12.000000,Redmi Singkawang,0,,com.gojek.app,Gojek,Positif
"mode gelap gojek kapan hadir ya, dari dulu perasaan fiturnya ada tapi cuman beta aja",5,2026-06-17T15:55:21.000000,Rizky Wahyu,0,5.63.1,com.gojek.app,Gojek,Positif
sudah lebih baik pelayanannya. walau masih di temukan sedikit kendala di kendaraannya yang kurang terawat jadi agak sedikit kurang nyaman... tapi sudah jauh lebih baik dari sebelumnya...,4,2026-06-10T04:14:01.000000,hendrik dominggus,71,5.28.2,com.gojek.app,Gojek,Positif
tidak ada gratisan satu pun,5,2026-05-11T14:44:39.000000,ahmadwildan maulidina08,0,5.59.1,com.gojek.app,Gojek,Positif
God job,5,2026-06-26T21:46:17.000000,Veri Zean,0,2.131.1,id.dana,DANA,Positif
✨simpel and worth it✨,5,2026-06-21T10:23:29.000000,Deo Darenoh,0,,id.dana,DANA,Positif
harga ongkos kirim dan barangnya mahal ongkos kirimnya padahal keterangannya gratis ongkir,1,2026-05-03T07:53:31.000000,Deli Wahana,2,3.362.0,com.tokopedia.tkpd,Tokopedia,Negatif
ko sekarang pake dana kena adm ya . sebelum nya ngak . sekarang per tf 2500. kenapa ya?,3,2026-06-26T07:45:47.000000,Uunjani,0,2.131.1,id.dana,DANA,Netral
Ongkos kirimnya sangat mahal dan produk juga sudah mulai tidak lengkap lagi,2,2026-06-21T02:15:09.000000,Free Man,0,,com.tokopedia.tkpd,Tokopedia,Negatif
Mantap dah,5,2026-05-31T18:47:21.000000,Yahya Hamid,0,5.61.1,com.gojek.app,Gojek,Positif
"nyari gocar susah bngt anjg, pdhal bukan pelosok",1,2026-06-05T12:28:03.000000,Baghir Akhmad,0,5.60.1,com.gojek.app,Gojek,Negatif
dana instan knpa tidakuncul,3,2026-06-21T05:47:04.000000,Rika Marlina,0,,id.dana,DANA,Netral
Terima kasih..,5,2026-04-05T03:43:42.000000,AHMAD KHUSAINI,0,3.356.0,com.tokopedia.tkpd,Tokopedia,Positif
bagus sih aplikasi nya tapi klo buat top up kadang susuah aja gitu,4,2026-06-21T13:49:32.000000,Bagas,0,2.130.0,id.dana,DANA,Positif
penjemputan tepat waktu,5,2026-05-17T16:09:11.000000,Rudi,0,5.60.1,com.gojek.app,Gojek,Positif
The best 👍,5,2026-06-21T05:00:03.000000,Vonny Madu,0,2.129.0,id.dana,DANA,Positif
Tokopedia promo lebih murah saya suka,5,2026-05-03T18:46:51.000000,Nugroho Jalanan,0,3.352.2,com.tokopedia.tkpd,Tokopedia,Positif
"belanja hemat, sesuia cepat respont to shipper dan barang nya sesuai",5,2026-06-11T23:51:51.000000,randhiπo palmella•888,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
menggunkan dana lebih mudah untuk transaksi,5,2026-06-21T18:15:18.000000,Snack girisubo,0,,id.dana,DANA,Positif
"aplikasi transaksi yang paling tidak aman, uang saya tiba-tiba hilang disini ada transaksi mencurigakan, uang tidak diganti dan tidak ada respon dari pihak dana nya, tidak aman aplikasi ini",1,2026-06-24T08:28:59.000000,Narakarti Btari,0,,id.dana,DANA,Negatif
mudah cepat,5,2026-05-26T06:41:52.000000,Imas Maisaroh,0,3.364.0,com.tokopedia.tkpd,Tokopedia,Positif
"Banyak bug, sering kali beberapa menu tidak bisa diakses selalu ada tulisan ""ada gangguan di rumah tokopedia"" pdhl sinyal aman dll",1,2026-05-06T19:58:04.000000,Panca Yulia,0,3.171,com.tokopedia.tkpd,Tokopedia,Negatif
"saya pesan barang kok di batalkan secara otomatis? kata toko nya beralasan seperti itu juga. ini saya coba pesan lagi tolong di perbaiki, kok jadi kacau gini",1,2026-06-26T16:07:23.000000,Satria Yehezkiel,1,3.370.0,com.tokopedia.tkpd,Tokopedia,Negatif
"Yg terdaftar di bisnis Tokopedia rata² oke tp ada pembisnis yg nakal rasanya pingin beli barang promo...tp dana sdh dikirim eh ....hanya menunggu barang datang tahu² dana dibalikin....tak tahu alasannya saya sarankan Tokopedia lebih selektif bagi pebisnis yg menurut saya tidak serius atau main², bukan masalah dananya dikembalikan gk masalah tp kecewa....barang yg diharap ...Zong padahal kami sangat mengaharap...lbh serius lagi sdh dihub pembisninisnya tak ada jawaban pasti dan jelas 🙏🙏🙏",5,2026-05-01T03:38:15.000000,Christina Sulistyorini,6,3.362.0,com.tokopedia.tkpd,Tokopedia,Positif
top markotop Abang nye,5,2026-06-27T11:58:48.000000,Cacageboy Hanisa pink Salon Caca,0,5.64.2,com.gojek.app,Gojek,Positif
"BAGUS BGT, BELANJA DISINI AJA GYSS, LENGKAP & MURAHH",5,2026-06-13T07:26:07.000000,Firllie,0,3.368.0,com.tokopedia.tkpd,Tokopedia,Positif
mudah dan murah,5,2026-05-09T06:04:21.000000,Lucia NurHS,0,3.361.0,com.tokopedia.tkpd,Tokopedia,Positif
"support membantu, diskon bagus",5,2026-05-02T14:39:26.000000,Isyak Rizqi,1,3.362.0,com.tokopedia.tkpd,Tokopedia,Positif
kendala mulu heran,1,2026-06-20T10:29:07.000000,Wawang Dwi,0,3.369.0,com.tokopedia.tkpd,Tokopedia,Negatif
org nya ramah²,5,2026-05-27T04:38:12.000000,Maraaw Ufairah,0,5.61.1,com.gojek.app,Gojek,Positif
Jangan Mau mesan go Food disini datangnya 2 jam,1,2026-05-31T16:02:32.000000,Iqbal Mustafa,1,5.61.1,com.gojek.app,Gojek,Negatif
harusnya walaupun hujan tetep di usahakan ada driver yang mau sih jangan suka ngecancel siapa tau yang pesen lagi butuh driver,2,2026-05-17T09:35:03.000000,Azmiya _Allatief,1,5.60.1,com.gojek.app,Gojek,Negatif
chat sama toko kenapa pada ilang,2,2026-04-24T12:00:14.000000,yudhant zibrael,3,3.260,com.tokopedia.tkpd,Tokopedia,Negatif
sangat membantu rakyat dalam perjalanan kemana aja ..,5,2026-05-17T07:39:10.000000,scorpion,0,5.60.1,com.gojek.app,Gojek,Positif
oke bagus,4,2026-06-04T04:29:00.000000,Paradilla Syifa,0,5.61.1,com.gojek.app,Gojek,Positif
pakai gojek CPT sat set,5,2026-05-16T09:32:46.000000,Den Bagus,0,5.60.1,com.gojek.app,Gojek,Positif
HADEH GUE DAPET DISKON GEDE BUAT BELI GACOAN MALAH KURIR GAK DAPET UDH NUNGGU 1JAM BIAR BISA DI BATALIN MALAH KAGAK DAPET,1,2026-06-01T12:42:01.000000,Ardi Ardiii,1,,com.gojek.app,Gojek,Negatif
"sy langganan gojeg sdh lbh dari 6 thn dan pernah jd prioritas dan lebih suka kalau banyak discount dari go food atau transportasi, pertahankan dan tingkatkan",4,2026-05-11T00:19:48.000000,Silfia Zaharti,0,5.59.1,com.gojek.app,Gojek,Positif
"ga jelas dari tadi pesen, ""transaksi tidak dapat diproses"" terus!!!!! 😮‍💨😤",1,2026-06-21T12:31:03.000000,Sigma Mewing,0,,com.tokopedia.tkpd,Tokopedia,Negatif
tolong hapuskan dana premium saya,1,2026-06-27T11:15:51.000000,Bng Gaming,0,2.131.1,id.dana,DANA,Negatif
ajib pokoknya 🏅,5,2026-05-09T15:24:23.000000,R4hmat Hid4yat,0,5.59.1,com.gojek.app,Gojek,Positif
buat apa ngadain dana poin kali gk bisa di tuker,1,2026-06-26T14:03:31.000000,Uciha Saskeh,0,2.129.0,id.dana,DANA,Negatif
sayang walau udah pakai proteksen uang saya masih bisa diretas makanya saya kasih bintang lima kalo udah ngga bisa diretas mungkin bakal saya kasih bintang 10,5,2026-06-25T11:22:01.000000,Acong Ksbn,0,2.130.1,id.dana,DANA,Positif
"jek jek, orang penyedia jasa transportasi, anter barang, makanan. kok Batasin akses customer ke driver dan sebaliknya. kalaupun mau di lindungi ga di tutup total dong. udah di kasih nomor pengirim alamat lengkap dll, di tinggal kerja driver kesulitan menemui pengirim Krn tidak bisa kordinasi dan akses nomor telpon customer ini penyedia jasa atau aplikasi keamanan sih? urgent malah jadi kelamaan, kalo dari scam dll biar kami yg urus data kami sendiri. banyak driver ngeluh kasihan",1,2026-05-16T09:53:50.000000,Mangi Mungil,1,,com.gojek.app,Gojek,Negatif
gangguan,5,2026-06-23T14:53:15.000000,Yudi anie,0,2.129.0,id.dana,DANA,Positif
sangat membatu. Terimakasih 🙏🏻,5,2026-06-23T00:12:57.000000,Qabil Rahmat,0,2.130.0,id.dana,DANA,Positif
APK NYA BAGUSS,5,2026-06-19T15:31:59.000000,Rama Kubu,0,,com.tokopedia.tkpd,Tokopedia,Positif
suka,5,2026-06-11T07:02:39.000000,Naura Alfi Ghina,0,,com.tokopedia.tkpd,Tokopedia,Positif
"Aplikasi gak jelas, gak ada driver yang mau antar",1,2026-05-09T14:57:08.000000,amri suteja,0,5.60.1,com.gojek.app,Gojek,Negatif
sangat membantu untuk aktifitas sehari2 maupun darurat,5,2026-06-22T10:05:08.000000,Gatot Sumpeno,0,5.63.1,com.gojek.app,Gojek,Positif
Barusan aja nyoba sudah mengecewakan,1,2026-05-01T02:11:23.000000,Anissa Havni,0,3.361.0,com.tokopedia.tkpd,Tokopedia,Negatif
e wallet terbaik yang saya miliki. terimakasih dana,5,2026-06-27T13:46:47.000000,Heri Sulistyo,0,2.131.1,id.dana,DANA,Positif
sya senang,5,2026-06-26T11:54:23.000000,Rahmatul001 Atul,0,2.109.2,id.dana,DANA,Positif
ko gak bisa buat lakukan pembayaran di aplikasi ml untuk top ap padahal saldo ada 91 ribu buat top ap 19 ribu aja gak bisa,3,2026-06-25T17:24:07.000000,Panji anggun Adi luhung,0,2.129.0,id.dana,DANA,Netral
sangat penting untuk saya mempermudah kan daya buat apa pun,5,2026-06-24T17:23:37.000000,nopal Rangga,1,,id.dana,DANA,Positif
pembayaran selalu dibatalkan gabisa,1,2026-05-21T03:37:46.000000,Amell Melati,1,,com.gojek.app,Gojek,Negatif
DANA CICIL,5,2026-06-23T23:02:42.000000,hatake kakashi,0,2.129.0,id.dana,DANA,Positif
bagus sekali tokped,5,2026-04-18T15:26:20.000000,Shandy zxr,0,3.360.0,com.tokopedia.tkpd,Tokopedia,Positif
"seneng banget belanja disini, apalagi udah Collab sama sebelah, voucher makin banyak, gratis ongkir, barang juga berkualitas lagi",5,2026-06-15T03:09:10.000000,Mila,0,,com.tokopedia.tkpd,Tokopedia,Positif
asyik bt kebutuhan mendadak,5,2026-06-10T06:54:02.000000,Mur Yati,0,5.44.1,com.gojek.app,Gojek,Positif
"aplikasi gaje mesen gojek pencet sekali doang malah kepesen 2 driver, ngerjain ojol aja kasian tau ga tolong dbenerin lah biaya jadi bayar dua kali kan, udah berapa kali ini kejadian kaya begini dialamin sama saya",1,2026-06-01T02:15:39.000000,far hadiafur (farhahrufaidahsubhan),1,,com.gojek.app,Gojek,Negatif
"luar biasa , dengn fitur dana cicil",5,2026-06-21T05:08:41.000000,Rizki Andika,0,,id.dana,DANA,Positif
"Kalian mengusir costuner kalian sendiri Tokped. Toko2 yg jd langganan saya di tokped pindah ke Shopee semua, apalagi kalau bukan karena kebijakan problematik yg harus disambung sama TokTok itu. Sungguh sangat bijak",1,2026-05-19T05:30:32.000000,Tulisku Asal,0,3.364.0,com.tokopedia.tkpd,Tokopedia,Negatif
mantqp,5,2026-06-21T01:10:31.000000,Samsul Arifin,0,5.63.1,com.gojek.app,Gojek,Positif
kurang memuaskan GK bertanggung jawab hilang nyah uang,1,2026-06-27T16:17:39.000000,Nuni Nursanti,0,2.127.0,id.dana,DANA,Negatif
kemarin. komplain seller. salah kirim tgl 23 juni...brang dah dkirim bslik. sampai. hari ini tgl 28 juni. gk ada. kejelasan. sdah saatnya tokopedia. ditinggalkan.. pelayanan jelek...pindah ke shopxx. saja,1,2026-06-27T03:28:45.000000,Agusindira,3,3.370.0,com.tokopedia.tkpd,Tokopedia,Negatif
buat naikin rupiah indonesia,5,2026-06-15T15:34:59.000000,Mif Ganz,0,,com.tokopedia.tkpd,Tokopedia,Positif
"aplikasi bobrok mempersulit org pas pesan makanan mau membatalkan atau tukar alamat sangat sulit dan tidak bisa, nyesal saya download",1,2026-06-22T01:18:53.000000,Dwi Astuti,0,5.63.1,com.gojek.app,Gojek,Negatif
"tolong untuk pengembalian dana pembelian menggunakan kupon belanja, di balikin juga kupon diskon belanja nya biar pembeli juga gk rugi karena kehilangan kupon diskon",2,2026-06-04T11:13:44.000000,Aswar Nur,0,3.366.0,com.tokopedia.tkpd,Tokopedia,Negatif
enak,5,2026-05-22T14:14:55.000000,Abdul Majid,0,,com.gojek.app,Gojek,Positif
"Aplikasi nya lama bikin sebel udh aktifkan fitur gofood exspress malah datang nya telat trs udh berkali kali kek gini bikin males, driver nya juga nolak Mulu kalo GK nolak diterima tapi GK jalan tambah bikin males hadee mohon dibenerin dong gojek",3,2026-05-27T04:39:57.000000,nana Kristina,1,4.84.1,com.gojek.app,Gojek,Netral
dana ajing uang gua hilang mulu dh apk babi,1,2026-06-27T18:56:54.000000,sandi,0,2.129.0,id.dana,DANA,Negatif
mantap pake dana. gampang mempergunakan apli kasinya,5,2026-06-26T05:49:25.000000,Suras Tarigan,0,2.129.0,id.dana,DANA,Positif
"najis, disuruh daftar Tokopedia Card tapi langsung di tolak, percuma data gw diisi dong, ini mah namanya nyomot data doang",1,2026-06-19T04:17:10.000000,Ghazyyoioi,0,,com.tokopedia.tkpd,Tokopedia,Negatif
"kenapa ya banyak voucher yang tidak bisa digunakan, contohnya voucher gratis ongkir 50k",4,2026-06-26T01:22:17.000000,Vazar,0,3.369.0,com.tokopedia.tkpd,Tokopedia,Positif
lemoot,1,2026-04-14T05:47:15.000000,kholid anwar,0,3.359.0,com.tokopedia.tkpd,Tokopedia,Negatif
"nyaris jarang banget pake aplikasi ini sekarang, Mahal banget sekarang mending pake Mxxxx ada mode hemat tp driver nya sulit dapet, bahkan harus pilih ke comfort supaya dapat drover",3,2026-06-13T22:22:09.000000,Puguh Toko,0,5.62.2,com.gojek.app,Gojek,Netral
"Dua kali transaksi, uang tidak masuk, bagaimana ini aplikasi DANA ?????",5,2026-06-26T17:29:36.000000,johan jojo,0,2.131.1,id.dana,DANA,Positif
"tidak bisa review ataupun melihat review, tulisan nya sedang download kemudian ada gangguan di rumah Toped",1,2026-04-23T09:19:36.000000,Karania Barus,0,,com.tokopedia.tkpd,Tokopedia,Negatif
"next gw ngga bakal pake apk gojek lagi gw baru beli saldo tiba"" autodebit gw ngga mau pake apk ini lagi",1,2026-06-07T16:36:59.000000,Bintangnur Hidayat2001,1,5.62.2,com.gojek.app,Gojek,Negatif
"UI/UX jelek, dan kolom konfirmasi alamat tidak muncul. rekomendasi produknya buruk dan tidak relevan, masa ada rekomendasi produk lift 2 lantai 18jt",1,2026-04-20T05:05:50.000000,9013 Julianto,1,3.360.0,com.tokopedia.tkpd,Tokopedia,Negatif
luar biasa ..membantu,5,2026-05-27T05:48:55.000000,Dedi Rus,0,,com.gojek.app,Gojek,Positif
"nyari driver susah, nunggu lamaa banget ujung ujungnya dibatalin ga dapet driver. buang buang waktu",1,2026-05-09T21:46:08.000000,Ari wibowo,0,,com.gojek.app,Gojek,Negatif
driver nya ramah dan sangat menyenangkan,5,2026-05-09T06:36:46.000000,Ahmad Rifa'i,0,5.59.1,com.gojek.app,Gojek,Positif
"sangat memudahkan saya dalam bertransaksi di mana saja! usulan darisaya cuma satau mohon untuk fitur dana cicil,dana instan dan dana faileter di sediakan untuk semua akun",5,2026-06-24T22:21:02.000000,Asmida Mida,0,2.131.1,id.dana,DANA,Positif
"aplikasi nya benerin lagi, buka pesan aja susah, ga muncul2",3,2026-05-11T16:37:47.000000,Eldwin Sofyana,2,3.363.0,com.tokopedia.tkpd,Tokopedia,Netral
tingkatkan dan perbaiki layanan,5,2026-05-14T03:32:27.000000,tony irawan,0,3.364.0,com.tokopedia.tkpd,Tokopedia,Positif
Resep dokter digital sudah didapatkan..tapi pas kembali kemenu untuk membeli obatnya malah disuruh chat dokter kembali utk buat resep baru..aplikasinya lebih simple yang dlu.. skarang jadi malas beli obatnya.waktunya juga diperpanjang donk.jika belum digunakan.,3,2026-04-11T23:52:14.000000,Meili ana,1,3.359.0,com.tokopedia.tkpd,Tokopedia,Netral
terimakasih aplikasi ini sangat membantu saya,5,2026-06-07T04:26:55.000000,Ihsan hawari,0,3.367.1,com.tokopedia.tkpd,Tokopedia,Positif
orangg nyaa ramahh² dan baikkk,5,2026-06-18T16:13:16.000000,Maria Thalita,0,5.63.1,com.gojek.app,Gojek,Positif
